Description,Label
"Allestimento di spazi protetti per accoglienza, consulenze legali e psicologiche, con sala per minori e materiale informativo multilingue, gestito da operatori formati.",non_ai
"Avvio di un piccolo atelier per la creazione di inchiostri con pigmenti vegetali, minerali e leganti naturali, per artisti, calligrafi e restauratori.",non_ai
"Recupero e manutenzione di canali in terra battuta e paratoie manuali per l'irrigazione per scorrimento di orti e frutteti, con turnazione concordata tra agricoltori.",non_ai
"Restauro conservativo di una torre del XVI secolo con consolidamento murario, installazione di scale e passerelle in legno per visite guidate con prenotazione.",non_ai
"Allestimento di uno spazio a norma per la creazione di shampoo, balsami e detergenti solidi con ingredienti naturali, con stampi in silicone e confezionamento manuale.",non_ai
"Installazione di una caldaia a cippato per il teleriscaldamento di un piccolo centro, con sistema di accumulo termico e distribuzione tramite tubazioni coibentate.",non_ai
"Allestimento di una sala con campioni di materiali, schede tecniche cartacee, strumenti antichi e postazioni consultazione per professionisti del restauro.",non_ai
"Avvio di una piccola unità di trasformazione per la produzione di confetture con frutta non commerciale, con ricette tradizionali e vendita a km0.",non_ai
"Installazione di reti in polipropilene su strutture in legno per la condensazione della nebbia e raccolta dell'acqua in cisterne, per usi agricoli limitati in zone montane secche.",non_ai
"Restauro conservativo delle pale e del meccanismo di macinazione di un mulino a vento del XIX secolo, con attivazione di visite didattiche sulla storia dell'energia eolica tradizionale.",non_ai
"Allestimento di una cucina professionale per la creazione di pesti, agrodolci e salse con ingredienti locali, con confezionamento in vetro e etichettatura manuale.",non_ai
"Allestimento di una sala dimostrativa con modelli di rubinetterie, sistemi di recupero acqua e materiali informativi cartacei per corsi pratici per famiglie.",non_ai
